page,clicks,impressions,ctr_pct,position
https://rodenlaw.com/locations/south-carolina/myrtle-beach/longs/,0,207,0,12.24
https://rodenlaw.com/locations/south-carolina/north-charleston/chicora-cherokee/,0,207,0,15.69
https://rodenlaw.com/locations/south-carolina/columbia/pine-ridge/,0,204,0,12.09
https://rodenlaw.com/locations/south-carolina/columbia/springdale/,0,204,0,29.04
https://rodenlaw.com/locations/south-carolina/myrtle-beach/myrtle-beach/,0,200,0,19.14
https://rodenlaw.com/locations/south-carolina/charleston/wadmalaw-island/,0,193,0,24.42
https://rodenlaw.com/locations/south-carolina/columbia/northeast-columbia/,1,191,0.524,13.75
https://rodenlaw.com/locations/georgia/savannah/georgetown/,0,187,0,22.37
https://rodenlaw.com/locations/south-carolina/myrtle-beach/surfside-beach/town-center/,0,175,0,14.69
https://rodenlaw.com/locations/georgia/savannah/southside-savannah/georgetown-savannah/,0,171,0,20.25
https://rodenlaw.com/locations/georgia/savannah/eastside-savannah/,0,167,0,11.12
https://rodenlaw.com/locations/georgia/darien/odum/,0,165,0,11.14
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/shadowmoss/,0,160,0,31.1
https://rodenlaw.com/locations/south-carolina/columbia/woodfield/,0,160,0,11.59
https://rodenlaw.com/locations/south-carolina/north-charleston/ferndale/,0,156,0,26.29
https://rodenlaw.com/locations/south-carolina/charleston/seabrook-island/,0,151,0,20.01
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/park-west/,0,146,0,16.31
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/ion/,0,145,0,31.15
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/boulder-bluff/,0,144,0,28.52
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/crowfield-plantation/,3,143,2.098,14.37
https://rodenlaw.com/locations/south-carolina/north-charleston/olde-north-charleston/,3,143,2.098,11.08
https://rodenlaw.com/locations/georgia/savannah/bryan-county/,1,143,0.699,9.51
https://rodenlaw.com/locations/georgia/savannah/effingham-county/marlow/,0,141,0,25.06
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/cannonborough-elliotborough/,1,140,0.714,31.29
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/cane-bay/,0,139,0,14.13
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/wagener-terrace/,0,133,0,23.72
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/knightsville/,0,132,0,11.61
https://rodenlaw.com/locations/south-carolina/myrtle-beach/socastee/socastee-village/,0,130,0,18.93
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/nexton/,0,130,0,18.69
https://rodenlaw.com/locations/georgia/savannah/hinesville/fort-stewart-area/,0,129,0,12.18
https://rodenlaw.com/locations/georgia/savannah/pooler/west-pooler/,1,127,0.787,16.57
https://rodenlaw.com/locations/south-carolina/charleston/north-charleston/,0,127,0,24.4
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/westchester/,0,126,0,25.94
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/summers-corner/,0,126,0,10.18
https://rodenlaw.com/locations/georgia/savannah/whitemarsh-island/,1,122,0.82,10.39
https://rodenlaw.com/locations/south-carolina/myrtle-beach/forestbrook/,0,122,0,16.01
https://rodenlaw.com/locations/georgia/savannah/statesboro/georgia-southern/,0,121,0,11.74
https://rodenlaw.com/locations/georgia/savannah/garden-city/,0,116,0,16.03
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/west-ashley-park/,0,112,0,29.52
https://rodenlaw.com/locations/south-carolina/myrtle-beach/litchfield-beach/,0,111,0,14.89
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/avondale/,1,110,0.909,27.62
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/harleston-village/,0,108,0,16.6
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/dunes-west/,0,104,0,25.53
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/pine-forest-inn/,0,104,0,17.17
https://rodenlaw.com/locations/south-carolina/myrtle-beach/carolina-forest/the-farm/,0,103,0,12.18
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/french-quarter/,0,99,0,26.88
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/howe-hall/,0,98,0,19.71
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/belle-hall/,1,97,1.031,41.69
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/sangaree/,1,97,1.031,22.54
https://rodenlaw.com/locations/south-carolina/charleston/summerville/knightsville/,0,96,0,4.94
https://rodenlaw.com/locations/georgia/savannah/southside-savannah/savannah-quarters/,0,91,0,7.47
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/old-village/,1,85,1.176,14.87
https://rodenlaw.com/locations/south-carolina/myrtle-beach/north-myrtle-beach/barefoot-landing/,0,84,0,19.81
https://rodenlaw.com/locations/georgia/savannah/effingham-county/egypt/,0,83,0,29.51
https://rodenlaw.com/locations/south-carolina/north-charleston/wescott-plantation/,2,81,2.469,12.63
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/carnes-crossroads/,1,81,1.235,13.51
https://rodenlaw.com/locations/south-carolina/north-charleston/charleston-heights/,1,77,1.299,15.31
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/carolina-park/,0,75,0,41.16
https://rodenlaw.com/locations/south-carolina/charleston/ravenel/,0,74,0,20.12
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/snee-farm/,0,72,0,10.6
https://rodenlaw.com/locations/georgia/savannah/downtown-savannah/river-street/,0,71,0,10.21
https://rodenlaw.com/locations/georgia/darien/sea-island/,2,70,2.857,8.56
https://rodenlaw.com/es/locations/,0,70,0,12.23
https://rodenlaw.com/locations/south-carolina/charleston/folly-beach/,0,70,0,31.71
https://rodenlaw.com/locations/georgia/savannah/midtown-savannah/ardsley-park-chatham-crescent/,1,69,1.449,20.45
https://rodenlaw.com/locations/south-carolina/columbia/gaston/,0,67,0,17.55
https://rodenlaw.com/locations/south-carolina/north-charleston/dorchester-terrace-waylyn/,0,63,0,14.56
https://rodenlaw.com/locations/georgia/savannah/downtown-savannah/historic-district/,0,62,0,12.56
https://rodenlaw.com/locations/south-carolina/myrtle-beach/wampee/,0,62,0,14.53
https://rodenlaw.com/locations/south-carolina/murrells-inlet/,1,60,1.667,16.5
https://rodenlaw.com/locations/georgia/savannah/ardsley-park/,0,59,0,14.05
https://rodenlaw.com/locations/south-carolina/myrtle-beach/bucksport/,0,59,0,21.08
https://rodenlaw.com/locations/south-carolina/north-charleston/liberty-hill/,0,59,0,23.81
https://rodenlaw.com/locations/south-carolina/myrtle-beach/burgess/,0,58,0,18.64
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/brickhope-plantation/,0,58,0,15.36
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/ansonborough/,2,57,3.509,16.51
https://rodenlaw.com/locations/south-carolina/myrtle-beach/myrtle-beach/grande-dunes/,0,57,0,16.49
https://rodenlaw.com/locations/south-carolina/myrtle-beach/garden-city-beach/pier-area/,0,55,0,46.75
https://rodenlaw.com/locations/south-carolina/myrtle-beach/green-sea/,0,54,0,12.02
https://rodenlaw.com/locations/south-carolina/myrtle-beach/briarcliffe-acres/,0,53,0,21.55
https://rodenlaw.com/locations/south-carolina/north-charleston/northwoods/,0,50,0,24.6
https://rodenlaw.com/locations/south-carolina/myrtle-beach/atlantic-beach/,0,46,0,18.5
https://rodenlaw.com/locations/georgia/savannah/pooler/godley-station/,0,41,0,17.51
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/wescott/,0,34,0,17.74
https://rodenlaw.com/locations/south-carolina/myrtle-beach/myrtle-beach/market-common/,0,32,0,8.31
https://rodenlaw.com/locations/south-carolina/charleston/mcclellanville/,1,23,4.348,14
https://rodenlaw.com/es/locations/georgia/darien/,0,22,0,19
https://rodenlaw.com/locations/south-carolina/charleston/north-charleston/olde-north-charleston/,0,12,0,7.67
https://rodenlaw.com/locations/south-carolina/columbia/camden/,0,10,0,7.9
https://rodenlaw.com/locations/south-carolina/charleston/goose-creek/westchester/,0,5,0,18
https://rodenlaw.com/locations/south-carolina/charleston/daniel-island/,0,4,0,6.25
https://rodenlaw.com/locations/south-carolina/charleston/goose-creek/boulder-bluff/,0,3,0,14
https://rodenlaw.com/locations/south-carolina/charleston/summerville/historic-district/,0,2,0,6
https://rodenlaw.com/locations/south-carolina/charleston/north-charleston/oak-terrace-preserve/,0,1,0,5
