office	post_id	state	date	action	url	cls
Myrtle Beach	8014115702803343190	LIVE	2026-06-05	LEARN_MORE	https://rodenlaw.com/blog/surfside-beach-golf-colony-golf-cart-accident-lawyer/	ok
Myrtle Beach	2348374814001818982	LIVE	2026-06-04	LEARN_MORE	https://rodenlaw.com/blog/litchfield-beach-pawleys-island-us-17-car-accident-georgetown-county/	ok
Myrtle Beach	1732509689180578597	LIVE	2026-05-18	LEARN_MORE	https://rodenlaw.com/blog/dog-bite-surfside-beach-29575/	ok
Myrtle Beach	1065211107780889306	LIVE	2026-05-18	LEARN_MORE	https://rodenlaw.com/blog/drunk-driver-crash-south-kings-highway-us-17-business-surfside-beach-29575/	ok
Myrtle Beach	687128600450228481	LIVE	2026-05-17	LEARN_MORE	https://rodenlaw.com/blog/dog-bite-surfside-beach-29575/	ok
Myrtle Beach	7682105696873269376	LIVE	2026-05-12	CALL		no-link
Myrtle Beach	3251643122087582664	LIVE	2026-05-08			no-link
Myrtle Beach	6083939216838663588	LIVE	2026-05-05	CALL		no-link
Myrtle Beach	1173440387421562941	LIVE	2026-05-01	CALL		no-link
Myrtle Beach	2921654473587562177	LIVE	2026-04-28	CALL		no-link
Myrtle Beach	7434005613644766451	LIVE	2026-04-24	CALL		no-link
Myrtle Beach	1315864292293786777	LIVE	2026-04-21	CALL		no-link
Myrtle Beach	2434698647416611975	LIVE	2026-04-17	CALL		no-link
Myrtle Beach	1028604236342343405	LIVE	2026-04-14	CALL		no-link
Myrtle Beach	8956241370523990651	LIVE	2025-12-16	LEARN_MORE	https://rodenlaw.com/blog/amazon-fedex-delivery-crashes/	redirected-to-related
Myrtle Beach	6996385898869406377	LIVE	2025-12-12	LEARN_MORE	https://rodenlaw.com/blog/myrtle-beach-golf-cart-laws/	redirected-to-related
North Charleston	2018594472520731390	REJECTED	2026-09-05	LEARN_MORE	https://rodenlaw.com/es/blog/wando-gardens-faber-place-drive-best-car-accident-lawyer-north-charleston/	STALE-generic
North Charleston	6344011749275074825	REJECTED	2026-09-02	LEARN_MORE	https://rodenlaw.com/blog/wando-gardens-faber-place-drive-best-car-accident-lawyer-north-charleston/	STALE-generic
North Charleston	4217293046667478792	REJECTED	2026-08-11	LEARN_MORE	https://rodenlaw.com/es/blog/tenmile-i-26-best-car-accident-lawyer-north-charleston/	STALE-generic
North Charleston	4532996015326024186	REJECTED	2026-08-08	LEARN_MORE	https://rodenlaw.com/blog/tenmile-i-26-best-car-accident-lawyer-north-charleston/	STALE-generic
North Charleston	7189482568978076320	REJECTED	2026-07-20	LEARN_MORE	https://rodenlaw.com/es/blog/rivers-avenue-northwoods-bus-accident-lawyer-north-charleston/	STALE-generic
North Charleston	8820306395221551996	REJECTED	2026-07-17	LEARN_MORE	https://rodenlaw.com/blog/rivers-avenue-northwoods-bus-accident-lawyer-north-charleston/	STALE-generic
North Charleston	2406914056412026701	REJECTED	2026-07-14	LEARN_MORE	https://rodenlaw.com/es/blog/summerville-i-26-18-wheeler-accident-lawyer-dorchester-county/	STALE-generic
North Charleston	4968259000398815587	LIVE	2026-07-09	LEARN_MORE	https://rodenlaw.com/blog/chicora-cherokee-carner-avenue-us-52-car-accident-attorney-north-charleston/	STALE-generic
North Charleston	6970091508452751610	LIVE	2026-07-02	LEARN_MORE	https://rodenlaw.com/blog/summerville-i-26-18-wheeler-accident-lawyer-dorchester-county/	STALE-generic
