year,state,corridor,county,fatalities,truck_involved,truck_tractor_involved,land_use,roadway,latitude,longitude
2021,SC,I-26,LEXINGTON (63),1,True,True,Rural,I-26,33.77786389,-80.982547220
2021,SC,I-95,FLORENCE (41),1,False,False,Rural,I-95,34.26579444,-79.713219440
2021,SC,I-26,ORANGEBURG (75),2,False,False,Rural,I-26,33.59575000,-80.856138890
2021,SC,I-26,ORANGEBURG (75),1,True,True,Rural,I-26,33.31701389,-80.546166670
2021,SC,I-26,CALHOUN (17),1,False,False,Rural,I-26,33.62438333,-80.870883330
2021,SC,I-26,LEXINGTON (63),1,False,False,Urban,I-26,33.92369722,-81.068150000
2021,SC,I-95,ORANGEBURG (75),1,False,False,Rural,I-95,33.33536111,-80.538061110
2021,SC,I-26,NEWBERRY (71),2,False,False,Rural,I-26,34.23134444,-81.440058330
2021,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.43130000,-81.000550000
2021,SC,I-26,ORANGEBURG (75),1,False,False,Rural,I-26,33.60474167,-80.861761110
2021,SC,I-26,BERKELEY (15),2,True,False,Rural,I-26,33.08413056,-80.210650000
2021,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.86625278,-80.000408330
2021,SC,I-26,CALHOUN (17),1,False,False,Rural,I-26,33.63586111,-80.876250000
2021,SC,I-95,HAMPTON (49),1,True,True,Rural,I-95,32.72495000,-80.854119440
2021,SC,I-95,DILLON (33),1,False,False,Rural,I-95,34.48786111,-79.331880560
2021,SC,I-26,BERKELEY (15),1,False,False,Rural,I-26,33.05711944,-80.169811110
2021,SC,I-26,SPARTANBURG (83),1,True,True,Rural,I-26,34.78313889,-81.954719440
2021,SC,I-26,LAURENS (59),1,False,False,Urban,I-26,34.51088611,-81.867486110
2021,SC,I-26,SPARTANBURG (83),1,False,False,Urban,I-26 RAMP,35.08096389,-82.063138890
2021,SC,I-26,DORCHESTER (35),1,False,False,Rural,I-26,33.15536111,-80.346947220
2021,SC,I-26,CALHOUN (17),1,False,False,Rural,I-26,33.85697222,-81.029038890
2021,SC,I-95,COLLETON (29),1,False,False,Rural,I-95,32.81280278,-80.763069440
2021,SC,I-95,FLORENCE (41),2,True,True,Rural,I-95,34.27308611,-79.695991670
2021,SC,I-26,NEWBERRY (71),1,False,False,Rural,I-26,34.22527778,-81.425905560
2021,SC,I-26,LEXINGTON (63),2,False,False,Urban,I-26,33.95398889,-81.092322220
2021,SC,I-95,FLORENCE (41),1,True,True,Urban,I-95,34.24452222,-79.770344440
2021,SC,I-26,ORANGEBURG (75),1,False,False,Rural,I-26,33.38221111,-80.625761110
2021,SC,I-95,DORCHESTER (35),2,True,True,Rural,I-95,33.30673333,-80.554438890
2021,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.37688056,-81.030730560
2022,GA,I-95,LIBERTY (179),1,True,True,Rural,I-95,31.70648611,-81.390269440
2022,GA,I-95,GLYNN (127),1,False,False,Urban,I-95,31.27384167,-81.490522220
2022,GA,I-95,CHATHAM (51),1,False,False,Urban,I-95,32.18883611,-81.197030560
2022,GA,I-95,CHATHAM (51),1,True,True,Urban,I-95,32.18625833,-81.199205560
2022,GA,I-95,GLYNN (127),1,True,True,Urban,I-95,31.23239722,-81.511775000
2022,GA,I-95,CHATHAM (51),1,True,False,Urban,I-95,32.04270833,-81.262008330
2022,GA,I-95,EFFINGHAM (103),1,False,False,Urban,I-95,32.23064167,-81.158011110
2022,GA,I-95,CAMDEN (39),4,True,True,Urban,I-95,30.75549444,-81.651669440
2022,GA,I-95,CHATHAM (51),2,False,False,Urban,I-95,32.15488333,-81.234566670
2022,GA,I-95,GLYNN (127),1,True,True,Urban,I-95,31.24933333,-81.499255560
2022,GA,I-95,CAMDEN (39),1,False,False,Urban,I-95,30.84427778,-81.671383330
2022,GA,I-95,MCINTOSH (191),2,True,True,Rural,I-95,31.34256111,-81.463725000
2022,GA,I-95,CHATHAM (51),1,True,False,Urban,I-95,32.19927778,-81.187941670
2022,GA,I-95,MCINTOSH (191),1,True,True,Urban,I-95,31.63441111,-81.404869440
2022,GA,I-95,GLYNN (127),1,False,False,Urban,I-95,31.24771111,-81.499552780
2022,SC,I-26,BERKELEY (15),1,True,False,Rural,I-26,33.12393889,-80.282619440
2022,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.57840278,-80.929194440
2022,SC,I-26,SPARTANBURG (83),1,True,True,Urban,I-26,35.02683056,-82.035313890
2022,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.97493056,-80.076280560
2022,SC,I-26,DORCHESTER (35),1,False,False,Rural,I-26,33.23118056,-80.442930560
2022,SC,I-95,CLARENDON (27),1,False,False,Rural,I-95,33.55373889,-80.403825000
