tier	traffic	risk	months_stale	type	locale	byline	url	risk_flags
P2	0	14	2	post	en	y	/blog/i-16-port-freight-truck-accident-garden-city-savannah/	statute,fault,sol,damages,medspecials
P2	0	14	1	post	en	y	/blog/savannah-veterans-parkway-car-accident-lawyer/	statute,fault,sol,damages,medspecials
P2	0	14	1	post	en	y	/blog/yamacraw-village-pedestrian-accident-lawyer/	statute,fault,sol,damages,medspecials
P2	0	14	1	post	en	y	/blog/how-much-is-my-car-accident-claim-worth/	statute,fault,sol,damages,medspecials
P2	0	14	1	post	en	y	/blog/options-for-recovering-more-than-policy-limits/	statute,fault,sol,damages,medspecials
P2	0	14	1	post	en	y	/blog/continuing-post-accident-medical-treatment/	statute,fault,sol,damages,medspecials
P2	0	14	1	post	en	y	/blog/steps-to-take-if-you-are-involved-in-a-bicycle-hit-and-run/	statute,fault,sol,damages,medspecials
P2	0	14	1	post	en	y	/blog/can-someone-sue-me-for-a-car-accident/	statute,fault,sol,damages,medspecials
P2	0	14	1	post	en	y	/blog/negligence-vs-gross-negligence/	statute,fault,sol,damages,premises
P2	0	14	1	post	en	y	/blog/charleston-parking-lot-parking-garage-accident/	statute,fault,sol,damages,premises
P2	0	14	1	post	en	y	/blog/boeing-north-charleston-workplace-injuries-workers-comp/	statute,fault,sol,damages,medspecials
P2	0	14	1	post	en	y	/blog/folly-road-car-accidents-james-island-charleston/	statute,seatbelt,fault,damages,medspecials
P2	0	14	1	resource	en	y	/resources/south-carolina-wrongful-death-settlement-value/	statute,fault,sol,damages,medspecials
P2	0	14	1	resource	en	y	/resources/south-carolina-motorcycle-accident-settlement-value/	statute,fault,sol,damages,medspecials
P2	0	14	1	resource	en	y	/resources/south-carolina-car-accident-settlement-value/	statute,fault,sol,damages,medspecials
P2	0	14	1	resource	en	y	/resources/south-carolina-truck-accident-settlement-value/	statute,fault,sol,damages,medspecials
P2	0	14	1	practice_area	en	y	/premises-liability-lawyers/north-charleston-sc/	statute,fault,sol,damages,premises
P2	0	14	1	practice_area	en	y	/wrongful-death-lawyers/north-charleston-sc/	statute,fault,sol,damages,medspecials
P2	0	14	1	practice_area	en	y	/medical-malpractice-lawyers/north-charleston-sc/	statute,fault,sol,damages,medspecials
P2	0	14	1	practice_area	en	y	/slip-and-fall-lawyers/north-charleston-sc/	statute,fault,sol,damages,premises
P2	0	14	1	practice_area	en	y	/premises-liability-lawyers/myrtle-beach-sc/	statute,fault,sol,damages,premises
P2	0	14	1	practice_area	en	y	/premises-liability-lawyers/columbia-sc/	statute,fault,sol,damages,premises
P2	0	14	1	practice_area	en	y	/premises-liability-lawyers/charleston-sc/	statute,fault,sol,damages,premises
P2	0	14	1	practice_area	en	y	/wrongful-death-lawyers/myrtle-beach-sc/	statute,fault,sol,damages,medspecials
P2	0	14	1	practice_area	en	y	/wrongful-death-lawyers/columbia-sc/	statute,fault,sol,damages,medspecials
P2	0	14	1	practice_area	en	y	/medical-malpractice-lawyers/myrtle-beach-sc/	statute,fault,sol,damages,medspecials
